sub,TAS_difficulty_describing_feelings,TAS_difficulty_identifying_feelings,TAS_externally_oriented_thinking,IRI_perspective_taking,IRI_fantasy,IRI_Empathic_concern,IRI_personal_distress,ECQ_cognitive_ability,ECQ_cognitive_drive,ECQ_affective_ability,ECQ_affective_drive,ECQ_affective_reactivity,DCM_genuine_modulatory_parameters,DCM_pretended_modulatory_parameters
1,14,22,12,33,23,30,23,21,19,15,15,23,-0.82785,-0.85
2,6,13,16,23,28,32,15,17,15,16,15,20,-1.07795,-0.5
3,11,11,12,32,16,31,20,20,19,15,15,27,-0.8977,-1
4,18,22,19,28,27,31,26,23,19,17,15,25,-0.637,-1.17
5,18,16,19,23,27,26,23,14,14,11,11,22,-0.8012,-0.92
6,9,13,18,30,21,28,17,18,18,13,14,22,-1.25365,-1.64
7,10,17,17,24,32,26,18,18,15,18,14,24,-0.8478,-0.93
9,8,9,22,25,22,32,22,18,15,19,15,25,-0.80855,-0.9
10,8,13,18,28,24,28,13,15,18,14,15,24,-0.83085,-0.77
11,9,16,17,29,22,27,19,15,15,19,12,23,-0.8158,-0.89
12,14,21,17,27,27,24,16,18,16,16,13,23,-0.90625,-1.3
13,24,31,16,27,16,23,23,14,17,10,9,15,-0.81855,-0.78
14,9,27,13,27,35,32,16,22,20,19,16,24,-0.87345,-0.86
15,18,23,21,25,26,27,23,20,16,13,12,18,-0.77185,-1.04
16,17,25,14,22,14,30,22,16,15,15,14,22,-0.65365,-1.34
19,10,20,13,31,30,30,17,22,20,20,14,24,-1.01155,-1.72
20,16,19,12,24,33,30,20,21,16,14,14,24,-1.69,-1.31
22,13,17,21,19,20,22,27,18,10,15,12,18,-0.69165,-1.12
23,16,21,10,23,33,17,13,16,15,14,16,17,-0.86865,-0.7
25,8,14,10,25,29,26,14,18,16,14,11,19,-0.75145,-1.07
26,9,13,17,28,30,27,17,21,15,16,13,19,-0.75405,-1.06
27,13,14,20,18,29,23,19,16,13,9,11,22,-1.26105,-1.72
28,13,15,26,14,15,20,16,19,11,15,12,16,-0.7308,-0.4
29,11,9,18,26,27,25,16,19,15,16,12,24,-0.84035,-0.8
30,8,13,18,35,27,29,25,19,20,19,14,27,-0.8131,-0.89
31,12,17,15,26,22,33,12,21,16,17,12,22,-0.8068,-0.91
33,10,13,14,28,27,30,16,19,19,16,15,25,-0.79135,-0.8
35,12,11,21,20,17,21,19,17,12,15,13,23,-0.88295,-0.54
36,9,11,12,24,28,26,20,19,17,17,13,20,-0.5021,-0.74
37,13,10,17,27,20,24,19,17,16,16,12,21,-0.6231,-1.02
38,7,7,16,25,25,25,16,17,16,18,14,22,-0.0614,0
39,9,13,13,31,26,25,13,21,15,17,13,22,-0.5929,-2.15
40,14,16,17,24,23,27,17,15,16,15,12,22,-0.7472,-0.84
41,11,15,11,26,25,29,17,18,17,15,15,22,-0.63485,-1.31
42,9,14,11,25,30,26,10,20,17,16,14,19,-0.70075,-1.12
43,13,18,12,25,27,21,16,19,18,20,14,19,0.00895,-0.01
44,12,13,18,17,19,24,21,16,16,16,13,23,-0.7614,-0.89
45,13,11,15,28,23,23,9,21,16,20,14,21,-0.8945,-0.69
47,11,11,23,24,18,26,17,18,15,17,13,19,-0.7692,-0.68
48,16,16,22,30,32,22,14,19,18,12,11,17,-0.6386,-1.06
 , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,
 , , , , , , , , , , , , , ,
